Age,Tenure,MonthlyCharge,Complaints,Churn
26,38,74,4,0
43,52,70,10,0
32,11,63,8,0
52,24,108,8,0
25,1,114,9,1
51,9,27,2,0
52,5,40,7,0
44,12,74,5,0
60,19,87,7,0
43,34,43,3,0
44,54,110,8,0
40,35,87,6,0
32,37,22,10,0
29,49,54,7,0
21,53,25,9,0
41,17,98,1,0
20,30,44,4,0
56,51,50,2,0
40,41,54,6,0
38,60,98,6,0
23,8,105,3,0
60,29,115,9,0
33,31,27,2,0
28,26,38,8,0
31,53,98,4,0
31,9,71,6,0
57,56,75,1,0
19,41,62,3,0
48,33,89,9,0
36,30,119,2,0
31,21,79,4,0
35,53,26,0,0
21,54,45,6,0
48,17,90,7,0
48,20,34,7,0
47,41,63,8,0
25,55,27,8,0
56,33,51,3,0
30,27,52,6,0
24,24,61,0,0
22,48,25,10,0
25,50,84,5,0
31,47,83,7,0
20,22,108,9,0
26,7,39,5,0
29,51,43,9,0
44,36,55,4,0
22,3,48,7,0
54,55,117,9,0
36,7,78,5,0
51,41,74,5,0
51,23,87,9,0
43,19,117,1,0
47,7,109,6,1
44,17,98,8,0
31,38,24,6,0
29,17,82,1,0
26,50,30,4,0
25,5,97,1,0
22,48,87,8,0
53,42,94,6,0
22,5,64,10,0
20,21,103,8,0
40,23,33,8,0
21,25,98,10,0
39,22,85,7,0
51,34,109,9,0
23,55,111,0,0
21,39,102,4,0
18,59,90,0,0
34,7,115,4,0
20,2,82,2,0
28,18,106,6,0
59,17,49,5,0
45,17,103,6,0
31,45,109,8,0
39,2,105,4,0
38,56,97,2,0
49,9,29,9,0
45,9,64,7,0
29,48,43,9,0
46,52,70,9,0
53,3,42,2,0
37,2,55,1,0
28,41,104,1,0
30,34,60,3,0
35,56,37,1,0
47,9,115,0,0
53,19,55,4,0
34,25,60,6,0
44,18,118,8,0
52,46,33,4,0
42,39,106,5,0
49,26,42,2,0
38,12,105,4,0
27,51,66,2,0
41,43,77,4,0
56,4,86,0,0
31,17,25,10,0
49,1,54,3,0
50,9,62,8,0
33,54,74,2,0
60,12,23,8,0
40,52,84,1,0
18,33,76,6,0
24,51,41,0,0
37,60,63,2,0
35,28,73,8,0
58,20,72,1,0
53,6,46,5,0
26,15,118,4,0
47,23,25,1,0
35,7,95,1,0
24,54,64,5,0
28,18,77,2,0
29,37,98,0,0
43,54,117,1,0
18,29,51,7,0
43,45,105,10,0
44,47,94,8,0
28,20,87,3,0
26,1,24,6,0
31,57,89,9,0
42,39,21,6,0
37,6,57,10,0
19,56,48,0,0
30,32,61,3,0
20,28,40,10,0
24,54,68,0,0
53,12,63,7,0
51,43,34,7,0
55,14,94,3,0
20,35,67,0,0
29,34,85,4,0
22,60,30,1,0
30,45,105,0,0
51,23,29,0,0
31,16,58,8,0
51,52,33,10,0
31,39,31,1,0
49,44,25,4,0
29,44,81,5,0
35,12,30,4,0
58,25,88,5,0
45,56,39,7,0
50,3,74,8,0
33,10,116,4,0
31,43,74,6,0
40,50,24,3,0
57,27,98,10,0
33,30,50,9,0
37,8,90,8,1
32,55,72,6,0
33,25,120,3,0
43,34,55,4,0
26,29,118,8,0
55,35,65,10,0
34,24,41,5,0
42,16,103,0,0
51,54,82,2,0
43,43,49,4,0
54,51,27,7,0
24,50,93,7,0
59,15,66,10,0
42,42,61,2,0
28,47,79,0,0
46,14,83,7,0
34,8,111,0,0
32,27,71,0,0
55,19,44,1,0
38,8,52,5,0
49,37,101,7,0
33,25,96,3,0
41,57,102,5,0
27,27,84,4,0
49,14,38,0,0
30,1,73,3,0
28,8,26,9,0
49,9,95,9,1
50,54,62,3,0
20,31,82,8,0
45,20,107,2,0
25,44,27,4,0
57,32,36,10,0
30,9,40,8,0
51,49,66,7,0
56,40,88,10,0
23,26,82,5,0
36,58,38,2,0
23,27,50,3,0
29,13,34,8,0
33,9,107,6,1
44,16,31,10,0
50,27,116,10,0
59,29,55,0,0
27,18,102,6,0
21,38,30,10,0
53,12,79,6,0
46,9,61,10,0
49,48,47,4,0
52,47,72,9,0
18,40,58,1,0
34,35,66,7,0
34,40,105,10,0
44,59,45,4,0
20,59,42,0,0
34,33,43,10,0
39,16,105,8,0
19,4,68,6,0
42,14,105,10,0
21,38,27,6,0
52,48,113,6,0
30,20,74,8,0
51,46,104,5,0
26,13,53,10,0
36,39,114,6,0
36,48,83,9,0
53,21,38,8,0
19,8,112,2,0
24,56,27,6,0
59,27,45,2,0
31,17,74,6,0
29,8,49,10,0
58,41,117,10,0
32,29,116,1,0
55,52,104,5,0
54,18,27,10,0
25,13,96,8,0
18,38,22,8,0
58,8,46,10,0
29,29,51,3,0
55,22,109,4,0
27,30,33,10,0
22,8,36,7,0
39,38,53,1,0
38,20,36,2,0
40,32,99,2,0
25,16,57,4,0
60,7,44,9,0
41,41,111,5,0
34,11,55,4,0
27,41,57,10,0
38,59,52,1,0
50,10,48,4,0
36,52,67,0,0
34,9,114,5,0
53,53,97,7,0
50,8,72,9,0
28,23,66,4,0
30,51,59,3,0
44,55,116,9,0
25,2,36,3,0
53,10,67,9,0
56,48,67,9,0
31,4,109,0,0
33,45,67,10,0
59,56,28,5,0
54,8,106,2,0
28,56,30,5,0
23,59,33,10,0
48,25,104,10,0
39,39,103,1,0
52,46,54,10,0
23,54,33,10,0
34,20,25,4,0
59,21,91,5,0
45,37,86,10,0
55,42,77,10,0
26,19,108,7,0
39,4,114,4,0
31,25,37,0,0
44,52,44,0,0
48,6,44,2,0
56,59,101,8,0
55,53,33,4,0
29,9,63,9,0
49,51,52,9,0
18,25,88,7,0
38,15,105,4,0
26,17,117,5,0
48,37,67,9,0
27,6,29,0,0
41,9,21,6,0
22,2,52,6,0
54,42,69,7,0
55,21,48,7,0
34,14,87,9,0
22,38,47,3,0
56,44,70,3,0
43,42,22,3,0
24,50,22,7,0
45,49,75,8,0
52,37,67,4,0
39,11,34,0,0
51,11,73,9,0
26,11,39,9,0
35,28,70,3,0
56,32,29,3,0
59,26,71,7,0
57,11,102,9,1
38,2,63,3,0
58,9,44,6,0
30,26,52,4,0
41,30,99,8,0
52,55,102,8,0
52,49,21,9,0
59,24,22,10,0
57,28,83,2,0
57,60,93,5,0
55,18,26,2,0
43,46,41,2,0
52,52,88,2,0
25,1,76,1,0
38,18,24,10,0
45,52,117,5,0
25,36,99,5,0
58,19,109,1,0
26,16,21,1,0
58,4,64,0,0
42,14,60,6,0
32,5,105,8,1
26,53,103,1,0
33,10,112,6,1
52,2,66,0,0
49,25,82,5,0
21,1,112,8,1
30,24,35,10,0
56,48,113,4,0
32,59,79,4,0
21,2,62,0,0
58,32,40,3,0
24,7,41,6,0
20,56,96,3,0
39,14,89,8,0
59,46,74,2,0
56,17,71,9,0
54,41,52,7,0
40,23,50,9,0
60,17,72,2,0
38,23,66,4,0
54,25,50,1,0
60,35,54,9,0
26,47,93,9,0
31,43,59,10,0
40,51,42,8,0
24,39,28,10,0
59,31,71,2,0
35,19,36,3,0
47,5,111,5,0
38,12,119,10,0
25,6,28,6,0
20,13,79,6,0
53,48,38,5,0
19,44,43,9,0
24,14,116,3,0
46,31,91,1,0
33,16,32,8,0
21,45,106,2,0
35,51,51,2,0
28,12,28,1,0
52,48,103,3,0
56,27,104,7,0
42,3,76,10,0
47,52,48,3,0
34,41,40,5,0
19,9,61,8,0
53,30,70,5,0
34,47,22,10,0
53,4,82,9,1
38,17,62,7,0
26,42,20,2,0
59,20,86,3,0
26,25,113,6,0
43,54,42,3,0
42,18,46,2,0
47,19,108,2,0
35,1,105,3,0
49,15,29,2,0
43,30,47,10,0
39,20,64,4,0
33,23,55,5,0
60,22,109,4,0
33,37,87,7,0
27,49,82,6,0
19,44,29,7,0
30,43,30,3,0
24,50,21,0,0
55,57,84,0,0
48,3,30,3,0
51,38,40,9,0
48,33,63,8,0
56,50,60,0,0
45,24,76,3,0
60,56,75,1,0
36,57,38,8,0
37,26,79,6,0
35,39,112,8,0
45,36,109,2,0
50,38,46,4,0
52,6,110,0,0
33,23,94,10,0
21,34,103,9,0
24,41,61,4,0
35,27,55,1,0
44,13,52,8,0
49,43,48,9,0
42,31,103,0,0
60,16,63,2,0
25,11,47,10,0
58,1,116,2,0
36,23,48,10,0
29,8,64,8,0
28,48,25,1,0
31,9,108,9,1
48,36,38,6,0
42,39,73,7,0
45,52,29,1,0
35,19,59,2,0
36,43,47,4,0
30,46,104,0,0
60,46,55,7,0
20,10,22,10,0
24,51,55,5,0
25,28,30,10,0
31,40,95,3,0
21,58,94,1,0
57,55,79,0,0
60,2,37,0,0
49,44,86,1,0
20,8,60,0,0
30,51,50,5,0
40,44,40,8,0
19,30,68,8,0
54,32,42,8,0
39,10,52,10,0
59,11,52,8,0
38,9,119,8,1
33,39,81,6,0
32,23,107,7,0
32,36,74,5,0
28,36,106,1,0
51,47,76,3,0
24,5,101,4,0
53,48,46,0,0
44,57,73,8,0
55,18,86,6,0
32,29,50,2,0
54,24,45,5,0
39,29,45,3,0
28,45,109,5,0
50,43,82,2,0
53,24,84,0,0
22,33,96,8,0
27,20,110,8,0
39,1,45,9,0
27,55,104,10,0
30,39,101,2,0
58,57,38,8,0
19,4,26,7,0
51,38,38,8,0
29,51,79,5,0
58,45,64,9,0
